Process,Timestamp,CPU (%),RAM (MB)
ROS Launch,2025-06-13 04:38:29.615650,0.0,43.59765625
ROS Launch,2025-06-13 04:39:29.749618,0.0,43.59765625
ROS Launch,2025-06-13 04:40:29.881047,0.0,43.59765625
ROS Launch,2025-06-13 04:41:30.014439,0.0,43.59765625
ROS Launch,2025-06-13 04:42:30.152504,0.0,43.59765625
ROS Launch,2025-06-13 04:43:30.285799,0.0,43.59765625
ROS Launch,2025-06-13 04:44:30.435492,0.0,43.59765625
FASTER-LIO Core,2025-06-13 04:38:29.615650,0.0,112.015625
FASTER-LIO Core,2025-06-13 04:39:29.749618,0.0,126.34375
FASTER-LIO Core,2025-06-13 04:40:29.881047,0.0,141.2265625
FASTER-LIO Core,2025-06-13 04:41:30.014439,0.0,156.140625
FASTER-LIO Core,2025-06-13 04:42:30.152504,0.0,162.34765625
FASTER-LIO Core,2025-06-13 04:43:30.285799,0.0,164.1171875
FASTER-LIO Core,2025-06-13 04:44:30.435492,0.0,165.57421875
ROS Master,2025-06-13 04:38:29.615650,0.0,41.08203125
ROS Master,2025-06-13 04:39:29.749618,0.0,41.08203125
ROS Master,2025-06-13 04:40:29.881047,0.0,41.08203125
ROS Master,2025-06-13 04:41:30.014439,0.0,41.08203125
ROS Master,2025-06-13 04:42:30.152504,0.0,41.08203125
ROS Master,2025-06-13 04:43:30.285799,0.0,41.08203125
ROS Master,2025-06-13 04:44:30.435492,0.0,41.08203125
ROS Out,2025-06-13 04:38:29.615650,0.0,10.85546875
ROS Out,2025-06-13 04:39:29.749618,0.0,10.85546875
ROS Out,2025-06-13 04:40:29.881047,0.0,10.85546875
ROS Out,2025-06-13 04:41:30.014439,0.0,10.85546875
ROS Out,2025-06-13 04:42:30.152504,0.0,10.85546875
ROS Out,2025-06-13 04:43:30.285799,0.0,10.85546875
ROS Out,2025-06-13 04:44:30.435492,0.0,10.85546875
Laser Mapping,2025-06-13 04:38:29.615650,0.0,68.41796875
Laser Mapping,2025-06-13 04:39:29.749618,0.0,82.74609375
Laser Mapping,2025-06-13 04:40:29.881047,0.0,97.62890625
Laser Mapping,2025-06-13 04:41:30.014439,0.0,112.54296875
Laser Mapping,2025-06-13 04:42:30.152504,0.0,118.75
Laser Mapping,2025-06-13 04:43:30.285799,0.0,120.51953125
Laser Mapping,2025-06-13 04:44:30.435492,0.0,121.9765625
RViz Visualization,2025-06-13 04:38:29.615650,0.0,145.703125
RViz Visualization,2025-06-13 04:39:29.749618,0.0,146.2421875
RViz Visualization,2025-06-13 04:40:29.881047,0.0,147.265625
RViz Visualization,2025-06-13 04:41:30.014439,0.0,148.6953125
RViz Visualization,2025-06-13 04:42:30.152504,0.0,149.77734375
RViz Visualization,2025-06-13 04:43:30.285799,0.0,151.265625
RViz Visualization,2025-06-13 04:44:30.435492,0.0,152.47265625
ROS Bag Player,2025-06-13 04:38:29.615650,0.0,72.59375
ROS Bag Player,2025-06-13 04:39:29.749618,0.0,72.59375
ROS Bag Player,2025-06-13 04:40:29.881047,0.0,72.59375
ROS Bag Player,2025-06-13 04:41:30.014439,0.0,72.59375
ROS Bag Player,2025-06-13 04:42:30.152504,0.0,72.59375
ROS Bag Player,2025-06-13 04:43:30.285799,0.0,72.59375
ROS Bag Player,2025-06-13 04:44:30.435492,0.0,72.59375
