Process,Timestamp,CPU (%),RAM (MB)
ROS Launch,2025-06-13 04:18:38.083017,0.0,43.76171875
ROS Launch,2025-06-13 04:19:38.178338,0.0,43.76171875
ROS Launch,2025-06-13 04:20:38.326546,0.0,43.76171875
ROS Launch,2025-06-13 04:21:38.462456,0.0,43.76171875
ROS Launch,2025-06-13 04:22:38.604957,0.0,43.76171875
ROS Launch,2025-06-13 04:23:38.742624,0.0,43.76171875
ROS Launch,2025-06-13 04:24:38.889718,0.0,43.62890625
FASTER-LIO Core,2025-06-13 04:18:38.083017,0.0,113.78515625
FASTER-LIO Core,2025-06-13 04:19:38.178338,0.0,222.26953125
FASTER-LIO Core,2025-06-13 04:20:38.326546,0.0,329.34375
FASTER-LIO Core,2025-06-13 04:21:38.462456,0.0,432.0859375
FASTER-LIO Core,2025-06-13 04:22:38.604957,0.0,538.30078125
FASTER-LIO Core,2025-06-13 04:23:38.742624,0.0,629.51953125
FASTER-LIO Core,2025-06-13 04:24:38.889718,0.0,699.1171875
ROS Master,2025-06-13 04:18:38.083017,0.0,40.7890625
ROS Master,2025-06-13 04:19:38.178338,0.0,40.7890625
ROS Master,2025-06-13 04:20:38.326546,0.0,40.7890625
ROS Master,2025-06-13 04:21:38.462456,0.0,40.7890625
ROS Master,2025-06-13 04:22:38.604957,0.0,40.7890625
ROS Master,2025-06-13 04:23:38.742624,0.0,40.7890625
ROS Master,2025-06-13 04:24:38.889718,0.0,40.66015625
ROS Out,2025-06-13 04:18:38.083017,0.0,10.98828125
ROS Out,2025-06-13 04:19:38.178338,0.0,10.98828125
ROS Out,2025-06-13 04:20:38.326546,0.0,10.98828125
ROS Out,2025-06-13 04:21:38.462456,0.0,10.98828125
ROS Out,2025-06-13 04:22:38.604957,0.0,10.98828125
ROS Out,2025-06-13 04:23:38.742624,0.0,10.98828125
ROS Out,2025-06-13 04:24:38.889718,0.0,8.44140625
Laser Mapping,2025-06-13 04:18:38.083017,0.0,70.0234375
Laser Mapping,2025-06-13 04:19:38.178338,0.0,178.5078125
Laser Mapping,2025-06-13 04:20:38.326546,0.0,285.58203125
Laser Mapping,2025-06-13 04:21:38.462456,0.0,388.32421875
Laser Mapping,2025-06-13 04:22:38.604957,0.0,494.5390625
Laser Mapping,2025-06-13 04:23:38.742624,0.0,585.7578125
Laser Mapping,2025-06-13 04:24:38.889718,0.0,655.48828125
RViz Visualization,2025-06-13 04:18:38.083017,0.0,164.68359375
RViz Visualization,2025-06-13 04:19:38.178338,0.0,436.55078125
RViz Visualization,2025-06-13 04:20:38.326546,0.0,711.9453125
RViz Visualization,2025-06-13 04:21:38.462456,0.0,974.76171875
RViz Visualization,2025-06-13 04:22:38.604957,0.0,1236.3359375
RViz Visualization,2025-06-13 04:23:38.742624,0.0,1479.296875
RViz Visualization,2025-06-13 04:24:38.889718,0.0,1744.4140625
ROS Bag Player,2025-06-13 04:18:38.083017,0.0,72.81640625
ROS Bag Player,2025-06-13 04:19:38.178338,0.0,72.81640625
ROS Bag Player,2025-06-13 04:20:38.326546,0.0,72.81640625
ROS Bag Player,2025-06-13 04:21:38.462456,0.0,72.81640625
ROS Bag Player,2025-06-13 04:22:38.604957,0.0,72.81640625
ROS Bag Player,2025-06-13 04:23:38.742624,0.0,72.81640625
ROS Bag Player,2025-06-13 04:24:38.889718,0.0,67.7421875
