Process,Timestamp,CPU (%),RAM (MB)
ROS Launch,2025-06-13 05:06:44.951106,0.0,44.12109375
ROS Launch,2025-06-13 05:07:45.083959,0.0,44.12109375
ROS Launch,2025-06-13 05:08:45.166029,0.0,44.12109375
ROS Launch,2025-06-13 05:09:45.246777,0.0,44.12109375
ROS Launch,2025-06-13 05:10:45.374279,0.0,44.12109375
ROS Launch,2025-06-13 05:11:45.500916,0.0,44.12109375
ROS Launch,2025-06-13 05:12:45.630117,0.0,44.12109375
FASTER-LIO Core,2025-06-13 05:06:44.951106,0.0,111.52734375
FASTER-LIO Core,2025-06-13 05:07:45.083959,0.0,125.41796875
FASTER-LIO Core,2025-06-13 05:08:45.166029,0.0,141.28125
FASTER-LIO Core,2025-06-13 05:09:45.246777,0.0,156.53125
FASTER-LIO Core,2025-06-13 05:10:45.374279,0.0,173.42578125
FASTER-LIO Core,2025-06-13 05:11:45.500916,0.0,180.9921875
FASTER-LIO Core,2025-06-13 05:12:45.630117,0.0,189.625
ROS Master,2025-06-13 05:06:44.951106,0.0,40.796875
ROS Master,2025-06-13 05:07:45.083959,0.0,40.796875
ROS Master,2025-06-13 05:08:45.166029,0.0,40.796875
ROS Master,2025-06-13 05:09:45.246777,0.0,40.796875
ROS Master,2025-06-13 05:10:45.374279,0.0,40.796875
ROS Master,2025-06-13 05:11:45.500916,0.0,40.796875
ROS Master,2025-06-13 05:12:45.630117,0.0,40.796875
ROS Out,2025-06-13 05:06:44.951106,0.0,10.94921875
ROS Out,2025-06-13 05:07:45.083959,0.0,10.94921875
ROS Out,2025-06-13 05:08:45.166029,0.0,10.94921875
ROS Out,2025-06-13 05:09:45.246777,0.0,10.94921875
ROS Out,2025-06-13 05:10:45.374279,0.0,10.94921875
ROS Out,2025-06-13 05:11:45.500916,0.0,10.94921875
ROS Out,2025-06-13 05:12:45.630117,0.0,10.94921875
Laser Mapping,2025-06-13 05:06:44.951106,0.0,67.40625
Laser Mapping,2025-06-13 05:07:45.083959,0.0,81.296875
Laser Mapping,2025-06-13 05:08:45.166029,0.0,97.16015625
Laser Mapping,2025-06-13 05:09:45.246777,0.0,112.41015625
Laser Mapping,2025-06-13 05:10:45.374279,0.0,129.3046875
Laser Mapping,2025-06-13 05:11:45.500916,0.0,136.87109375
Laser Mapping,2025-06-13 05:12:45.630117,0.0,145.50390625
RViz Visualization,2025-06-13 05:06:44.951106,0.0,146.6796875
RViz Visualization,2025-06-13 05:07:45.083959,0.0,147.58984375
RViz Visualization,2025-06-13 05:08:45.166029,0.0,148.5703125
RViz Visualization,2025-06-13 05:09:45.246777,0.0,149.59375
RViz Visualization,2025-06-13 05:10:45.374279,0.0,150.8828125
RViz Visualization,2025-06-13 05:11:45.500916,0.0,152.234375
RViz Visualization,2025-06-13 05:12:45.630117,0.0,152.671875
ROS Bag Player,2025-06-13 05:06:44.951106,0.0,72.49609375
ROS Bag Player,2025-06-13 05:07:45.083959,0.0,72.49609375
ROS Bag Player,2025-06-13 05:08:45.166029,0.0,72.49609375
ROS Bag Player,2025-06-13 05:09:45.246777,0.0,72.49609375
ROS Bag Player,2025-06-13 05:10:45.374279,0.0,72.49609375
ROS Bag Player,2025-06-13 05:11:45.500916,0.0,72.49609375
ROS Bag Player,2025-06-13 05:12:45.630117,0.0,72.49609375
